"","skill","jobref","count"
"219","Stata","job83636955",0
"220","Julia","job83636955",0
"221","SQL","job83560343",0
"222","Python","job83560343",0
"223","communication skills","job83560343",0
"224","Scala","job83560343",0
"225","predictive analytics","job83560343",0
"226","Natural Language Processing","job83560343",0
"227","Analytical","job83560343",0
"228","Creativity","job83560343",0
"229","Mathematics","job83560343",0
"230","Math","job83560343",0
"231","Programming","job83560343",0
"232","structured Data","job83560343",0
"233","data Mining","job83560343",0
"234","scientific Method","job83560343",0
"235","Math","job83560343",0
"236","project Management","job83560343",0
"237","data Management","job83560343",0
"238","Statistics","job83560343",0
"239","product design","job83560343",0
"240","business Development","job83560343",0
"241","machine Learning","job83560343",4
"242","algorithms","job83560343",0
"243","database","job83560343",0
"244","graphical Models","job83560343",0
"245","Models","job83560343",0
"246","modelling","job83560343",0
"247","unstructured data","job83560343",0
"248","optimisation","job83560343",0
"249","bayesian","job83560343",0
"250","front end","job83560343",0
"251","system administration","job83560343",0
"252","back end","job83560343",0
"253","big data","job83560343",0
"254","distributed data","job83560343",0
"255","cloud Management","job83560343",0
"256","Hadoop","job83560343",0
"257","Java","job83560343",0
"258","R","job83560343",0
"259","Hive","job83560343",0
"260","Mapreduce","job83560343",0
"261","NoSQL","job83560343",0
"262","Pig","job83560343",0
"263","SAS","job83560343",0
"264","C","job83560343",0
"265","Oracle","job83560343",0
"266","Teradata","job83560343",0
"267","SPSS","job83560343",0
"268","Matlab","job83560343",0
"269","Perl","job83560343",0
"270","MySQL","job83560343",0
"271","PostgreSQL","job83560343",0
"272","Ruby","job83560343",0
"273","HTML","job83560343",0
"274","Stata","job83560343",0
"275","Julia","job83560343",0
"276","SQL","job83771110",0
"277","Python","job83771110",2
"278","communication skills","job83771110",0
"279","Scala","job83771110",0
"280","predictive analytics","job83771110",0
"281","Natural Language Processing","job83771110",0
"282","Analytical","job83771110",0
"283","Creativity","job83771110",0
"284","Mathematics","job83771110",0
"285","Math","job83771110",0
"286","Programming","job83771110",0
"287","structured Data","job83771110",0
"288","data Mining","job83771110",0
"289","scientific Method","job83771110",0
"290","Math","job83771110",0
"291","project Management","job83771110",0
"292","data Management","job83771110",0
"293","Statistics","job83771110",0
"294","product design","job83771110",0
"295","business Development","job83771110",0
"296","machine Learning","job83771110",0
"297","algorithms","job83771110",0
"298","database","job83771110",0
"299","graphical Models","job83771110",0
"300","Models","job83771110",0
"301","modelling","job83771110",2
"302","unstructured data","job83771110",0
"303","optimisation","job83771110",0
"304","bayesian","job83771110",0
"305","front end","job83771110",0
"306","system administration","job83771110",0
"307","back end","job83771110",0
"308","big data","job83771110",0
"309","distributed data","job83771110",0
"310","cloud Management","job83771110",0
"311","Hadoop","job83771110",0
"312","Java","job83771110",0
"313","R","job83771110",2
"314","Hive","job83771110",0
"315","Mapreduce","job83771110",0
"316","NoSQL","job83771110",0
"317","Pig","job83771110",0
"318","SAS","job83771110",0
"319","C","job83771110",0
"320","Oracle","job83771110",0
"321","Teradata","job83771110",0
"322","SPSS","job83771110",0
"323","Matlab","job83771110",0
"324","Perl","job83771110",0
"325","MySQL","job83771110",0
"326","PostgreSQL","job83771110",0
"327","Ruby","job83771110",0
"328","HTML","job83771110",0
"329","Stata","job83771110",0
"330","Julia","job83771110",0
"331","SQL","job83770632",0
"332","Python","job83770632",0
"333","communication skills","job83770632",0
"334","Scala","job83770632",0
"335","predictive analytics","job83770632",0
"336","Natural Language Processing","job83770632",0
"337","Analytical","job83770632",0
"338","Creativity","job83770632",0
"339","Mathematics","job83770632",0
"340","Math","job83770632",0
"341","Programming","job83770632",0
"342","structured Data","job83770632",0
"343","data Mining","job83770632",0
"344","scientific Method","job83770632",0
"345","Math","job83770632",0
"346","project Management","job83770632",0
"347","data Management","job83770632",0
"348","Statistics","job83770632",0
"349","product design","job83770632",0
"350","business Development","job83770632",0
"351","machine Learning","job83770632",2
"352","algorithms","job83770632",1
"353","database","job83770632",0
"354","graphical Models","job83770632",0
"355","Models","job83770632",0
"356","modelling","job83770632",1
"357","unstructured data","job83770632",0
"358","optimisation","job83770632",0
"359","bayesian","job83770632",0
"360","front end","job83770632",0
"361","system administration","job83770632",0
"362","back end","job83770632",0
"363","big data","job83770632",1
"364","distributed data","job83770632",0
"365","cloud Management","job83770632",0
"366","Hadoop","job83770632",0
"367","Java","job83770632",0
"368","R","job83770632",1
"369","Hive","job83770632",0
"370","Mapreduce","job83770632",0
"371","NoSQL","job83770632",0
"372","Pig","job83770632",0
"373","SAS","job83770632",0
"374","C","job83770632",2
"375","Oracle","job83770632",0
"376","Teradata","job83770632",0
"377","SPSS","job83770632",0
"378","Matlab","job83770632",1
"379","Perl","job83770632",0
"380","MySQL","job83770632",0
"381","PostgreSQL","job83770632",0
"382","Ruby","job83770632",0
"383","HTML","job83770632",0
"384","Stata","job83770632",0
"385","Julia","job83770632",0
"386","SQL","job83685200",1
"387","Python","job83685200",3
"388","communication skills","job83685200",0
"389","Scala","job83685200",0
"390","predictive analytics","job83685200",0
"391","Natural Language Processing","job83685200",0
"392","Analytical","job83685200",0
"393","Creativity","job83685200",0
"394","Mathematics","job83685200",0
"395","Math","job83685200",0
"396","Programming","job83685200",0
"397","structured Data","job83685200",0
"398","data Mining","job83685200",0
"399","scientific Method","job83685200",0
"400","Math","job83685200",0
"401","project Management","job83685200",0
"402","data Management","job83685200",0
"403","Statistics","job83685200",0
"404","product design","job83685200",0
"405","business Development","job83685200",0
"406","machine Learning","job83685200",0
"407","algorithms","job83685200",0
"408","database","job83685200",0
"409","graphical Models","job83685200",0
"410","Models","job83685200",0
"411","modelling","job83685200",1
"412","unstructured data","job83685200",0
"413","optimisation","job83685200",0
"414","bayesian","job83685200",0
"415","front end","job83685200",0
"416","system administration","job83685200",0
"417","back end","job83685200",0
"418","big data","job83685200",0
"419","distributed data","job83685200",0
"420","cloud Management","job83685200",0
"421","Hadoop","job83685200",0
"422","Java","job83685200",0
"423","R","job83685200",2
"424","Hive","job83685200",0
"425","Mapreduce","job83685200",0
"426","NoSQL","job83685200",0
"427","Pig","job83685200",0
"428","SAS","job83685200",0
"429","C","job83685200",0
"430","Oracle","job83685200",0
"431","Teradata","job83685200",0
"432","SPSS","job83685200",0
"433","Matlab","job83685200",0
"434","Perl","job83685200",0
"435","MySQL","job83685200",0
"436","PostgreSQL","job83685200",2
"437","Ruby","job83685200",0
"438","HTML","job83685200",0
"439","Stata","job83685200",0
"440","Julia","job83685200",0
"441","SQL","job83549021",0
"442","Python","job83549021",0
"443","communication skills","job83549021",0
"444","Scala","job83549021",0
"445","predictive analytics","job83549021",0
"446","Natural Language Processing","job83549021",0
"447","Analytical","job83549021",0
"448","Creativity","job83549021",0
"449","Mathematics","job83549021",0
"450","Math","job83549021",0
"451","Programming","job83549021",0
"452","structured Data","job83549021",0
"453","data Mining","job83549021",0
"454","scientific Method","job83549021",0
"455","Math","job83549021",0
"456","project Management","job83549021",0
"457","data Management","job83549021",0
"458","Statistics","job83549021",0
"459","product design","job83549021",0
"460","business Development","job83549021",0
"461","machine Learning","job83549021",1
"462","algorithms","job83549021",0
"463","database","job83549021",0
"464","graphical Models","job83549021",0
"465","Models","job83549021",0
"466","modelling","job83549021",0
"467","unstructured data","job83549021",0
"468","optimisation","job83549021",0
"469","bayesian","job83549021",0
"470","front end","job83549021",0
"471","system administration","job83549021",0
"472","back end","job83549021",0
"473","big data","job83549021",0
"474","distributed data","job83549021",0
"475","cloud Management","job83549021",0
"476","Hadoop","job83549021",0
"477","Java","job83549021",0
"478","R","job83549021",0
"479","Hive","job83549021",0
"480","Mapreduce","job83549021",0
"481","NoSQL","job83549021",0
"482","Pig","job83549021",0
"483","SAS","job83549021",0
"484","C","job83549021",0
"485","Oracle","job83549021",0
"486","Teradata","job83549021",0
"487","SPSS","job83549021",0
"488","Matlab","job83549021",0
"489","Perl","job83549021",0
"490","MySQL","job83549021",0
"491","PostgreSQL","job83549021",0
"492","Ruby","job83549021",0
"493","HTML","job83549021",0
"494","Stata","job83549021",0
"495","Julia","job83549021",0
"496","SQL","job83509037",0
"497","Python","job83509037",0
"498","communication skills","job83509037",0
"499","Scala","job83509037",0
"500","predictive analytics","job83509037",0
"501","Natural Language Processing","job83509037",0
"502","Analytical","job83509037",0
"503","Creativity","job83509037",0
"504","Mathematics","job83509037",0
"505","Math","job83509037",0
"506","Programming","job83509037",0
"507","structured Data","job83509037",0
"508","data Mining","job83509037",0
"509","scientific Method","job83509037",0
"510","Math","job83509037",0
"511","project Management","job83509037",0
"512","data Management","job83509037",0
"513","Statistics","job83509037",0
"514","product design","job83509037",0
"515","business Development","job83509037",0
"516","machine Learning","job83509037",0
"517","algorithms","job83509037",0
"518","database","job83509037",0
"519","graphical Models","job83509037",0
"520","Models","job83509037",0
"521","modelling","job83509037",0
"522","unstructured data","job83509037",0
"523","optimisation","job83509037",0
"524","bayesian","job83509037",0
"525","front end","job83509037",0
"526","system administration","job83509037",0
"527","back end","job83509037",0
"528","big data","job83509037",0
"529","distributed data","job83509037",0
"530","cloud Management","job83509037",0
"531","Hadoop","job83509037",0
"532","Java","job83509037",0
"533","R","job83509037",1
"534","Hive","job83509037",0
"535","Mapreduce","job83509037",0
"536","NoSQL","job83509037",0
"537","Pig","job83509037",0
"538","SAS","job83509037",0
"539","C","job83509037",0
"540","Oracle","job83509037",0
"541","Teradata","job83509037",0
"542","SPSS","job83509037",0
"543","Matlab","job83509037",0
"544","Perl","job83509037",0
"545","MySQL","job83509037",0
"546","PostgreSQL","job83509037",0
"547","Ruby","job83509037",0
"548","HTML","job83509037",0
"549","Stata","job83509037",0
"550","Julia","job83509037",0
"551","SQL","job83750514",0
"552","Python","job83750514",1
"553","communication skills","job83750514",0
"554","Scala","job83750514",2
"555","predictive analytics","job83750514",1
"556","Natural Language Processing","job83750514",0
"557","Analytical","job83750514",0
"558","Creativity","job83750514",0
"559","Mathematics","job83750514",0
"560","Math","job83750514",0
"561","Programming","job83750514",0
"562","structured Data","job83750514",0
"563","data Mining","job83750514",0
"564","scientific Method","job83750514",0
"565","Math","job83750514",0
"566","project Management","job83750514",0
"567","data Management","job83750514",0
"568","Statistics","job83750514",2
"569","product design","job83750514",0
"570","business Development","job83750514",0
"571","machine Learning","job83750514",1
"572","algorithms","job83750514",1
"573","database","job83750514",0
"574","graphical Models","job83750514",0
"575","Models","job83750514",0
"576","modelling","job83750514",0
"577","unstructured data","job83750514",2
"578","optimisation","job83750514",0
"579","bayesian","job83750514",0
"580","front end","job83750514",0
"581","system administration","job83750514",0
"582","back end","job83750514",0
"583","big data","job83750514",1
"584","distributed data","job83750514",0
"585","cloud Management","job83750514",0
"586","Hadoop","job83750514",2
"587","Java","job83750514",0
"588","R","job83750514",1
"589","Hive","job83750514",0
"590","Mapreduce","job83750514",0
"591","NoSQL","job83750514",0
"592","Pig","job83750514",0
"593","SAS","job83750514",0
"594","C","job83750514",0
"595","Oracle","job83750514",0
"596","Teradata","job83750514",0
"597","SPSS","job83750514",0
"598","Matlab","job83750514",0
"599","Perl","job83750514",0
"600","MySQL","job83750514",0
"601","PostgreSQL","job83750514",0
"602","Ruby","job83750514",0
"603","HTML","job83750514",0
"604","Stata","job83750514",0
"605","Julia","job83750514",0
"606","SQL","job83727950",0
"607","Python","job83727950",2
"608","communication skills","job83727950",0
"609","Scala","job83727950",0
"610","predictive analytics","job83727950",0
"611","Natural Language Processing","job83727950",0
"612","Analytical","job83727950",0
"613","Creativity","job83727950",0
"614","Mathematics","job83727950",0
"615","Math","job83727950",0
"616","Programming","job83727950",0
"617","structured Data","job83727950",0
"618","data Mining","job83727950",0
"619","scientific Method","job83727950",0
"620","Math","job83727950",0
"621","project Management","job83727950",0
"622","data Management","job83727950",0
"623","Statistics","job83727950",0
"624","product design","job83727950",0
"625","business Development","job83727950",0
"626","machine Learning","job83727950",5
"627","algorithms","job83727950",0
"628","database","job83727950",0
"629","graphical Models","job83727950",0
"630","Models","job83727950",0
"631","modelling","job83727950",0
"632","unstructured data","job83727950",0
"633","optimisation","job83727950",0
"634","bayesian","job83727950",0
"635","front end","job83727950",0
"636","system administration","job83727950",0
"637","back end","job83727950",0
"638","big data","job83727950",0
"639","distributed data","job83727950",0
"640","cloud Management","job83727950",0
"641","Hadoop","job83727950",0
"642","Java","job83727950",0
"643","R","job83727950",0
"644","Hive","job83727950",0
"645","Mapreduce","job83727950",0
"646","NoSQL","job83727950",0
"647","Pig","job83727950",0
"648","SAS","job83727950",0
"649","C","job83727950",0
"650","Oracle","job83727950",0
"651","Teradata","job83727950",0
"652","SPSS","job83727950",0
"653","Matlab","job83727950",0
"654","Perl","job83727950",0
"655","MySQL","job83727950",0
"656","PostgreSQL","job83727950",0
"657","Ruby","job83727950",0
"658","HTML","job83727950",0
"659","Stata","job83727950",0
"660","Julia","job83727950",0
"661","SQL","job83696187",0
"662","Python","job83696187",0
"663","communication skills","job83696187",0
"664","Scala","job83696187",0
"665","predictive analytics","job83696187",0
"666","Natural Language Processing","job83696187",0
"667","Analytical","job83696187",0
"668","Creativity","job83696187",0
"669","Mathematics","job83696187",0
"670","Math","job83696187",0
"671","Programming","job83696187",0
"672","structured Data","job83696187",0
"673","data Mining","job83696187",0
"674","scientific Method","job83696187",0
"675","Math","job83696187",0
"676","project Management","job83696187",0
"677","data Management","job83696187",0
"678","Statistics","job83696187",0
"679","product design","job83696187",0
"680","business Development","job83696187",0
"681","machine Learning","job83696187",0
"682","algorithms","job83696187",0
"683","database","job83696187",0
"684","graphical Models","job83696187",0
"685","Models","job83696187",0
"686","modelling","job83696187",1
"687","unstructured data","job83696187",0
"688","optimisation","job83696187",0
"689","bayesian","job83696187",0
"690","front end","job83696187",0
"691","system administration","job83696187",0
"692","back end","job83696187",0
"693","big data","job83696187",0
"694","distributed data","job83696187",0
"695","cloud Management","job83696187",0
"696","Hadoop","job83696187",0
"697","Java","job83696187",0
"698","R","job83696187",0
"699","Hive","job83696187",0
"700","Mapreduce","job83696187",0
"701","NoSQL","job83696187",0
"702","Pig","job83696187",0
"703","SAS","job83696187",0
"704","C","job83696187",0
"705","Oracle","job83696187",0
"706","Teradata","job83696187",0
"707","SPSS","job83696187",0
"708","Matlab","job83696187",0
"709","Perl","job83696187",0
"710","MySQL","job83696187",0
"711","PostgreSQL","job83696187",0
"712","Ruby","job83696187",0
"713","HTML","job83696187",0
"714","Stata","job83696187",0
"715","Julia","job83696187",0
"716","SQL","job83445770",0
"717","Python","job83445770",0
"718","communication skills","job83445770",0
"719","Scala","job83445770",0
"720","predictive analytics","job83445770",0
"721","Natural Language Processing","job83445770",0
"722","Analytical","job83445770",0
"723","Creativity","job83445770",0
"724","Mathematics","job83445770",0
"725","Math","job83445770",0
"726","Programming","job83445770",0
"727","structured Data","job83445770",0
"728","data Mining","job83445770",0
"729","scientific Method","job83445770",0
"730","Math","job83445770",0
"731","project Management","job83445770",0
"732","data Management","job83445770",0
"733","Statistics","job83445770",0
"734","product design","job83445770",0
"735","business Development","job83445770",0
"736","machine Learning","job83445770",2
"737","algorithms","job83445770",0
"738","database","job83445770",0
"739","graphical Models","job83445770",0
"740","Models","job83445770",0
"741","modelling","job83445770",0
"742","unstructured data","job83445770",0
"743","optimisation","job83445770",0
"744","bayesian","job83445770",0
"745","front end","job83445770",0
"746","system administration","job83445770",0
"747","back end","job83445770",0
"748","big data","job83445770",0
"749","distributed data","job83445770",0
"750","cloud Management","job83445770",0
"751","Hadoop","job83445770",0
"752","Java","job83445770",0
"753","R","job83445770",0
"754","Hive","job83445770",0
"755","Mapreduce","job83445770",0
"756","NoSQL","job83445770",0
"757","Pig","job83445770",0
"758","SAS","job83445770",0
"759","C","job83445770",0
"760","Oracle","job83445770",0
"761","Teradata","job83445770",0
"762","SPSS","job83445770",0
"763","Matlab","job83445770",0
"764","Perl","job83445770",0
"765","MySQL","job83445770",0
"766","PostgreSQL","job83445770",0
"767","Ruby","job83445770",0
"768","HTML","job83445770",0
"769","Stata","job83445770",0
"770","Julia","job83445770",0
"771","SQL","job83707198",2
"772","Python","job83707198",3
"773","communication skills","job83707198",0
"774","Scala","job83707198",2
"775","predictive analytics","job83707198",0
"776","Natural Language Processing","job83707198",0
"777","Analytical","job83707198",0
"778","Creativity","job83707198",0
"779","Mathematics","job83707198",1
"780","Math","job83707198",0
"781","Programming","job83707198",1
"782","structured Data","job83707198",0
"783","data Mining","job83707198",2
"784","scientific Method","job83707198",0
"785","Math","job83707198",0
"786","project Management","job83707198",0
"787","data Management","job83707198",0
"788","Statistics","job83707198",2
"789","product design","job83707198",0
"790","business Development","job83707198",0
"791","machine Learning","job83707198",2
"792","algorithms","job83707198",2
"793","database","job83707198",0
"794","graphical Models","job83707198",0
"795","Models","job83707198",0
"796","modelling","job83707198",2
"797","unstructured data","job83707198",0
"798","optimisation","job83707198",0
"799","bayesian","job83707198",0
"800","front end","job83707198",0
"801","system administration","job83707198",0
"802","back end","job83707198",0
"803","big data","job83707198",0
"804","distributed data","job83707198",0
"805","cloud Management","job83707198",0
"806","Hadoop","job83707198",0
"807","Java","job83707198",0
"808","R","job83707198",3
"809","Hive","job83707198",0
"810","Mapreduce","job83707198",0
"811","NoSQL","job83707198",2
"812","Pig","job83707198",0
"813","SAS","job83707198",2
"814","C","job83707198",0
"815","Oracle","job83707198",0
"816","Teradata","job83707198",0
"817","SPSS","job83707198",0
"818","Matlab","job83707198",0
"819","Perl","job83707198",0
"820","MySQL","job83707198",0
"821","PostgreSQL","job83707198",0
"822","Ruby","job83707198",0
"823","HTML","job83707198",0
"824","Stata","job83707198",0
"825","Julia","job83707198",0
"826","SQL","job83741583",2
"827","Python","job83741583",2
"828","communication skills","job83741583",0
"829","Scala","job83741583",0
"830","predictive analytics","job83741583",0
"831","Natural Language Processing","job83741583",0
"832","Analytical","job83741583",0
"833","Creativity","job83741583",0
"834","Mathematics","job83741583",0
"835","Math","job83741583",0
"836","Programming","job83741583",0
"837","structured Data","job83741583",0
"838","data Mining","job83741583",0
"839","scientific Method","job83741583",0
"840","Math","job83741583",0
"841","project Management","job83741583",0
"842","data Management","job83741583",0
"843","Statistics","job83741583",0
"844","product design","job83741583",0
"845","business Development","job83741583",0
"846","machine Learning","job83741583",1
"847","algorithms","job83741583",0
"848","database","job83741583",0
"849","graphical Models","job83741583",0
"850","Models","job83741583",0
"851","modelling","job83741583",0
"852","unstructured data","job83741583",0
"853","optimisation","job83741583",0
"854","bayesian","job83741583",0
"855","front end","job83741583",0
"856","system administration","job83741583",0
"857","back end","job83741583",0
"858","big data","job83741583",0
"859","distributed data","job83741583",0
"860","cloud Management","job83741583",0
"861","Hadoop","job83741583",0
"862","Java","job83741583",0
"863","R","job83741583",2
"864","Hive","job83741583",0
"865","Mapreduce","job83741583",0
"866","NoSQL","job83741583",0
"867","Pig","job83741583",0
"868","SAS","job83741583",0
"869","C","job83741583",0
"870","Oracle","job83741583",0
"871","Teradata","job83741583",0
"872","SPSS","job83741583",0
"873","Matlab","job83741583",0
"874","Perl","job83741583",0
"875","MySQL","job83741583",0
"876","PostgreSQL","job83741583",0
"877","Ruby","job83741583",0
"878","HTML","job83741583",0
"879","Stata","job83741583",0
"880","Julia","job83741583",0
"881","SQL","job83708507",1
"882","Python","job83708507",3
"883","communication skills","job83708507",0
"884","Scala","job83708507",1
"885","predictive analytics","job83708507",1
"886","Natural Language Processing","job83708507",0
"887","Analytical","job83708507",0
"888","Creativity","job83708507",0
"889","Mathematics","job83708507",0
"890","Math","job83708507",0
"891","Programming","job83708507",1
"892","structured Data","job83708507",0
"893","data Mining","job83708507",0
"894","scientific Method","job83708507",0
"895","Math","job83708507",0
"896","project Management","job83708507",0
"897","data Management","job83708507",0
"898","Statistics","job83708507",1
"899","product design","job83708507",0
"900","business Development","job83708507",0
"901","machine Learning","job83708507",1
"902","algorithms","job83708507",1
"903","database","job83708507",0
"904","graphical Models","job83708507",0
"905","Models","job83708507",0
"906","modelling","job83708507",1
"907","unstructured data","job83708507",0
"908","optimisation","job83708507",0
"909","bayesian","job83708507",0
"910","front end","job83708507",0
"911","system administration","job83708507",0
"912","back end","job83708507",0
"913","big data","job83708507",2
"914","distributed data","job83708507",0
"915","cloud Management","job83708507",0
"916","Hadoop","job83708507",1
"917","Java","job83708507",3
"918","R","job83708507",2
"919","Hive","job83708507",1
"920","Mapreduce","job83708507",0
"921","NoSQL","job83708507",1
"922","Pig","job83708507",0
"923","SAS","job83708507",0
"924","C","job83708507",0
"925","Oracle","job83708507",0
"926","Teradata","job83708507",0
"927","SPSS","job83708507",0
"928","Matlab","job83708507",0
"929","Perl","job83708507",0
"930","MySQL","job83708507",0
"931","PostgreSQL","job83708507",0
"932","Ruby","job83708507",0
"933","HTML","job83708507",0
"934","Stata","job83708507",0
"935","Julia","job83708507",0
"936","SQL","job83704898",0
"937","Python","job83704898",2
"938","communication skills","job83704898",0
"939","Scala","job83704898",0
"940","predictive analytics","job83704898",0
"941","Natural Language Processing","job83704898",0
"942","Analytical","job83704898",0
"943","Creativity","job83704898",0
"944","Mathematics","job83704898",0
"945","Math","job83704898",0
"946","Programming","job83704898",0
"947","structured Data","job83704898",0
"948","data Mining","job83704898",0
"949","scientific Method","job83704898",0
"950","Math","job83704898",0
"951","project Management","job83704898",0
"952","data Management","job83704898",0
"953","Statistics","job83704898",0
"954","product design","job83704898",0
"955","business Development","job83704898",0
"956","machine Learning","job83704898",1
"957","algorithms","job83704898",1
"958","database","job83704898",0
